"time","caRNA","sti","geno","gene"
5,0.280716573098298,"lps","wt","Pim1"
5.08333333333333,0.267873684255455,"lps","wt","Pim1"
5.16666666666667,0.255790517634187,"lps","wt","Pim1"
5.25,0.244454120624585,"lps","wt","Pim1"
5.33333333333333,0.233848074893025,"lps","wt","Pim1"
5.41666666666667,0.223952907869115,"lps","wt","Pim1"
5.5,0.214746505729736,"lps","wt","Pim1"
5.58333333333333,0.206204522905359,"lps","wt","Pim1"
5.66666666666667,0.198300781790119,"lps","wt","Pim1"
5.75,0.191007657167424,"lps","wt","Pim1"
5.83333333333333,0.184296440694623,"lps","wt","Pim1"
5.91666666666667,0.178137681735888,"lps","wt","Pim1"
6,0.172501558088395,"lps","wt","Pim1"
6.08333333333333,0.1683833579844,"lps","wt","Pim1"
6.16666666666667,0.165888545319554,"lps","wt","Pim1"
6.25,0.164195587018086,"lps","wt","Pim1"
6.33333333333333,0.162903418790745,"lps","wt","Pim1"
6.41666666666667,0.161816166904908,"lps","wt","Pim1"
6.5,0.160838102656041,"lps","wt","Pim1"
6.58333333333333,0.159922374280499,"lps","wt","Pim1"
6.66666666666667,0.159045985282268,"lps","wt","Pim1"
6.75,0.15819758258305,"lps","wt","Pim1"
6.83333333333333,0.157371496557468,"lps","wt","Pim1"
6.91666666666667,0.156564831798199,"lps","wt","Pim1"
7,0.155776047788475,"lps","wt","Pim1"
7.08333333333333,0.155004266025805,"lps","wt","Pim1"
7.16666666666667,0.154248931889649,"lps","wt","Pim1"
7.25,0.153509649640833,"lps","wt","Pim1"
7.33333333333333,0.152786101916915,"lps","wt","Pim1"
7.41666666666667,0.152078010464773,"lps","wt","Pim1"
7.5,0.151385116998075,"lps","wt","Pim1"
7.58333333333333,0.150707173875709,"lps","wt","Pim1"
7.66666666666667,0.1500439395724,"lps","wt","Pim1"
7.75,0.149395176487221,"lps","wt","Pim1"
7.83333333333333,0.148760649892199,"lps","wt","Pim1"
7.91666666666667,0.148140127436445,"lps","wt","Pim1"
8,0.147545380385213,"lps","wt","Pim1"
0,0.125898791233008,"tnf","wt","Pim1"
0.0833333333333333,0.12591191621497,"tnf","wt","Pim1"
0.166666666666667,0.126874182351299,"tnf","wt","Pim1"
0.25,0.138791329518653,"tnf","wt","Pim1"
0.333333333333333,0.20140296253687,"tnf","wt","Pim1"
0.416666666666667,0.374815340285406,"tnf","wt","Pim1"
0.5,0.64519247292804,"tnf","wt","Pim1"
0.583333333333333,0.814505287093646,"tnf","wt","Pim1"
0.666666666666667,0.825569901206124,"tnf","wt","Pim1"
0.75,0.752041338034532,"tnf","wt","Pim1"
0.833333333333333,0.637509679383889,"tnf","wt","Pim1"
0.916666666666667,0.5119635459187,"tnf","wt","Pim1"
1,0.396296630060434,"tnf","wt","Pim1"
1.08333333333333,0.299150914872596,"tnf","wt","Pim1"
1.16666666666667,0.227103799355196,"tnf","wt","Pim1"
1.25,0.18080498043865,"tnf","wt","Pim1"
1.33333333333333,0.154096671388311,"tnf","wt","Pim1"
1.41666666666667,0.1398989616122,"tnf","wt","Pim1"
1.5,0.132751707127092,"tnf","wt","Pim1"
1.58333333333333,0.129245059660437,"tnf","wt","Pim1"
1.66666666666667,0.127532632165435,"tnf","wt","Pim1"
1.75,0.126696430865811,"tnf","wt","Pim1"
1.83333333333333,0.126288148679363,"tnf","wt","Pim1"
1.91666666666667,0.126088832010975,"tnf","wt","Pim1"
2,0.1259915429303,"tnf","wt","Pim1"
2.08333333333333,0.125944059255019,"tnf","wt","Pim1"
2.16666666666667,0.125920884555204,"tnf","wt","Pim1"
2.25,0.125909573877838,"tnf","wt","Pim1"
2.33333333333333,0.125904053702296,"tnf","wt","Pim1"
2.41666666666667,0.12590135958089,"tnf","wt","Pim1"
2.5,0.125900044715067,"tnf","wt","Pim1"
2.58333333333333,0.125899402994867,"tnf","wt","Pim1"
2.66666666666667,0.125899089803353,"tnf","wt","Pim1"
2.75,0.125898936950251,"tnf","wt","Pim1"
2.83333333333333,0.125898862350301,"tnf","wt","Pim1"
2.91666666666667,0.125898825941799,"tnf","wt","Pim1"
3,0.125898808172632,"tnf","wt","Pim1"
3.08333333333333,0.125898799500391,"tnf","wt","Pim1"
3.16666666666667,0.125898795267904,"tnf","wt","Pim1"
3.25,0.125898793202239,"tnf","wt","Pim1"
3.33333333333333,0.125898792194091,"tnf","wt","Pim1"
3.41666666666667,0.125898791702064,"tnf","wt","Pim1"
3.5,0.12589879146193,"tnf","wt","Pim1"
3.58333333333333,0.125898791344733,"tnf","wt","Pim1"
3.66666666666667,0.125898791287535,"tnf","wt","Pim1"
3.75,0.12589879125962,"tnf","wt","Pim1"
3.83333333333333,0.125898791245996,"tnf","wt","Pim1"
3.91666666666667,0.125898791239347,"tnf","wt","Pim1"
4,0.125898791236102,"tnf","wt","Pim1"
4.08333333333333,0.125898791234518,"tnf","wt","Pim1"
4.16666666666667,0.125898791233745,"tnf","wt","Pim1"
4.25,0.125898791233368,"tnf","wt","Pim1"
4.33333333333333,0.125898791233183,"tnf","wt","Pim1"
4.41666666666667,0.125898791233093,"tnf","wt","Pim1"
4.5,0.12589879123305,"tnf","wt","Pim1"
4.58333333333333,0.125898791233028,"tnf","wt","Pim1"
4.66666666666667,0.125898791233018,"tnf","wt","Pim1"
4.75,0.125898791233013,"tnf","wt","Pim1"
4.83333333333333,0.12589879123301,"tnf","wt","Pim1"
4.91666666666667,0.125898791233009,"tnf","wt","Pim1"
5,0.125898791233008,"tnf","wt","Pim1"
5.08333333333333,0.125898791233008,"tnf","wt","Pim1"
5.16666666666667,0.125898791233008,"tnf","wt","Pim1"
5.25,0.125898791233008,"tnf","wt","Pim1"
5.33333333333333,0.125898791233008,"tnf","wt","Pim1"
5.41666666666667,0.125898791233008,"tnf","wt","Pim1"
5.5,0.125898791233008,"tnf","wt","Pim1"
