"","time","normCnt.frac","sti","geno","gene","type","clust","v1"
"327",3,0.624911924166149,"lps","mt","Cgn","Sim.","2",FALSE
"328",5,0.871943146270116,"lps","mt","Cgn","Sim.","2",FALSE
"329",8,1,"lps","mt","Cgn","Sim.","2",FALSE
"330",0,0.162648017785317,"tnf","mt","Cgn","Sim.","2",FALSE
"331",0.5,0.162648017785317,"tnf","mt","Cgn","Sim.","2",FALSE
"332",1,0.274231017387199,"tnf","mt","Cgn","Sim.","2",FALSE
"333",2,0.502379166788132,"tnf","mt","Cgn","Sim.","2",FALSE
"334",3,0.668354882154365,"tnf","mt","Cgn","Sim.","2",FALSE
"335",5,0.534496638876028,"tnf","mt","Cgn","Sim.","2",FALSE
"336",8,0.3207236144646,"tnf","mt","Cgn","Sim.","2",FALSE
"337",0,0.0361238589419172,"lps","wt","Pdgfb","Sim.","2",FALSE
"338",0.5,0.0361238589419172,"lps","wt","Pdgfb","Sim.","2",FALSE
"339",1,0.0361238589419172,"lps","wt","Pdgfb","Sim.","2",FALSE
"340",2,0.262492637235795,"lps","wt","Pdgfb","Sim.","2",FALSE
"341",3,0.880325177246525,"lps","wt","Pdgfb","Sim.","2",FALSE
"342",5,1,"lps","wt","Pdgfb","Sim.","2",FALSE
"343",8,0.308096352056888,"lps","wt","Pdgfb","Sim.","2",FALSE
"344",0,0.0361238589419172,"tnf","wt","Pdgfb","Sim.","2",FALSE
"345",0.5,0.0361238589419172,"tnf","wt","Pdgfb","Sim.","2",FALSE
"346",1,0.0361238589419172,"tnf","wt","Pdgfb","Sim.","2",FALSE
"347",2,0.505177708154261,"tnf","wt","Pdgfb","Sim.","2",FALSE
"348",3,0.274888132011511,"tnf","wt","Pdgfb","Sim.","2",FALSE
"349",5,0.0881251427429446,"tnf","wt","Pdgfb","Sim.","2",FALSE
"350",8,0.0414160166653593,"tnf","wt","Pdgfb","Sim.","2",FALSE
"351",0,0.0564869871213475,"lps","mt","Pdgfb","Sim.","2",FALSE
"352",0.5,0.0564869871213475,"lps","mt","Pdgfb","Sim.","2",FALSE
"353",1,0.0564869871213475,"lps","mt","Pdgfb","Sim.","2",FALSE
"354",2,0.368741012229549,"lps","mt","Pdgfb","Sim.","2",FALSE
"355",3,1,"lps","mt","Pdgfb","Sim.","2",FALSE
"356",5,0.737133337001361,"lps","mt","Pdgfb","Sim.","2",FALSE
"357",8,0.212859492573528,"lps","mt","Pdgfb","Sim.","2",FALSE
